Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Eastern,fa-solid fa-futbol,blue,white,,Columbus Crew,https://en.wikipedia.org/wiki/File:Skorry-ohiostadium_6048.jpg,Ohio Stadium,"411 Woody Hayes Dr, Columbus, OH 43210, USA",40.001667,-83.019722
Eastern,fa-solid fa-futbol,blue,white,,D.C. United,"https://en.wikipedia.org/wiki/File:RFK_Stadium_aerial_photo,_1988.JPEG",RFK Memorial Stadium,"2400 E Capitol St SE, Washington, DC 20003, USA",38.89,-76.972
Eastern,fa-solid fa-futbol,blue,white,,New England Revolution,https://en.wikipedia.org/wiki/File:Foxborostade.png,Foxboro Stadium,"1 Patriot Pl, Foxborough, MA 02035, USA",42.0927,-71.267442
Eastern,fa-solid fa-futbol,blue,white,,NY/NJ MetroStars,https://en.wikipedia.org/wiki/File:Giants_Stadium_aerial.jpg,Giants Stadium,"50 NJ-120, East Rutherford, NJ 07073, USA",40.812222,-74.076944
Eastern,fa-solid fa-futbol,blue,white,,Tampa Bay Mutiny,https://en.wikipedia.org/wiki/File:Tampa_Stadium1.jpg,Houlihan's Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607, USA",27.978889,-82.503611
Western,fa-solid fa-futbol,red,white,,Colorado Rapids,https://en.wikipedia.org/wiki/File:Denver_Mile_High_Stadium_postcard_(c._1970s-1980s).jpg,Mile High Stadium,"2755 W 17th Ave, Denver, CO 80204, USA",39.746111,-105.021667
Western,fa-solid fa-futbol,red,white,,Dallas Burn,https://en.wikipedia.org/wiki/File:Fair_Park_August_2016_40_(Cotton_Bowl_Stadium).jpg,Cotton Bowl Stadium,"1300 Robert B Cullum Blvd, Dallas, TX 75210, USA",32.78028,-96.75955
Western,fa-solid fa-futbol,red,white,,Kansas City Wiz,https://en.wikipedia.org/wiki/File:Aerial_view_of_Arrowhead_Stadium_08-31-2013.jpg,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129, USA",39.048889,-94.483889
Western,fa-solid fa-futbol,red,white,,Los Angeles Galaxy,"https://en.wikipedia.org/wiki/File:2018.06.17_Over_the_Rose_Bowl,_Pasadena,_CA_USA_0039_(42855669451)_(cropped).jpg",Rose Bowl,"1001 Rose Bowl Dr, Pasadena, CA 91103, USA",34.161,-118.168
Western,fa-solid fa-futbol,red,white,,San Jose Clash,https://en.wikipedia.org/wiki/File:SPStaSJ.jpg,Spartan Stadium,"1257 S 10th St, San Jose, CA 95112, USA",37.319722,-121.868333